slide,city,licences_slide,file
0,,5152.0,logos/img_000_slide000.jpg
0,,5152.0,logos/img_001_slide000.png
0,,5152.0,logos/img_002_slide000.jpg
0,,5152.0,logos/img_003_slide000.jpg
0,,5152.0,logos/img_004_slide000.jpg
0,,5152.0,logos/img_005_slide000.jpg
1,,,logos/img_006_slide001.png
1,,,logos/img_007_slide001.jpg
3,,,logos/img_008_slide003.jpg
3,,,logos/img_009_slide003.jpg
3,,,logos/img_010_slide003.jpg
3,,,logos/img_011_slide003.jpg
3,,,logos/img_012_slide003.jpg
3,,,logos/img_013_slide003.jpg
3,,,logos/img_014_slide003.jpg
3,,,logos/img_015_slide003.jpg
3,,,logos/img_016_slide003.jpg
4,,1899.0,logos/img_017_slide004.jpg
4,,1899.0,logos/img_018_slide004.png
4,,1899.0,logos/img_019_slide004.png
4,,1899.0,logos/img_020_slide004.jpg
4,,1899.0,logos/img_021_slide004.jpg
4,,1899.0,logos/img_022_slide004.png
7,BASSE GOULAINE,63.0,logos/img_023_slide007.jpg
7,BASSE GOULAINE,63.0,logos/img_024_slide007.png
8,BOUGUENAIS,41.0,logos/img_025_slide008.png
8,BOUGUENAIS,41.0,logos/img_026_slide008.png
9,CARQUEFOU,159.0,logos/img_027_slide009.jpg
9,CARQUEFOU,159.0,logos/img_028_slide009.png
10,CHATEAUBRIANT,66.0,logos/img_029_slide010.png
10,CHATEAUBRIANT,66.0,logos/img_030_slide010.png
11,CLISSON,44.0,logos/img_031_slide011.png
12,CORDEMAIS,46.0,logos/img_032_slide012.jpg
12,CORDEMAIS,46.0,logos/img_033_slide012.png
13,COUERON,67.0,logos/img_034_slide013.png
13,COUERON,67.0,logos/img_035_slide013.jpg
14,DONGES,41.0,logos/img_036_slide014.png
15,FROSSAY SAINT VIAUD,24.0,logos/img_037_slide015.png
16,GUERANDE,54.0,logos/img_038_slide016.png
16,GUERANDE,54.0,logos/img_039_slide016.png
17,LA BAULE,60.0,logos/img_040_slide017.png
18,LA HAYE FOUASSIERE,40.0,logos/img_041_slide018.png
18,LA HAYE FOUASSIERE,40.0,logos/img_042_slide018.png
19,LA TURBALLE,17.0,logos/img_043_slide019.png
19,LA TURBALLE,17.0,logos/img_044_slide019.jpg
20,LE BIGNON,67.0,logos/img_045_slide020.png
21,LES TOUCHES,28.0,logos/img_046_slide021.png
22,MAISDON,25.0,logos/img_047_slide022.png
23,MONTOIR DE BRETAGNE,25.0,logos/img_048_slide023.png
23,MONTOIR DE BRETAGNE,25.0,logos/img_049_slide023.jpg
24,NANTES,73.0,logos/img_050_slide024.png
24,NANTES,73.0,logos/img_051_slide024.png
25,NANTES DOULON,33.0,logos/img_052_slide025.png
26,ORVAULT,66.0,logos/img_053_slide026.png
26,ORVAULT,66.0,logos/img_054_slide026.png
27,PIRIAC SUR MER,49.0,logos/img_055_slide027.jpg
27,PIRIAC SUR MER,49.0,logos/img_056_slide027.png
28,PONTCHATEAU,41.0,logos/img_057_slide028.jpg
29,PORNIC,123.0,logos/img_058_slide029.png
29,PORNIC,123.0,logos/img_059_slide029.png
30,REZE,49.0,logos/img_060_slide030.jpg
31,SAINT GEREON,49.0,logos/img_061_slide031.png
31,SAINT GEREON,49.0,logos/img_062_slide031.png
32,SAINT HERBLAIN,120.0,logos/img_063_slide032.png
32,SAINT HERBLAIN,120.0,logos/img_064_slide032.png
33,SAINT JEAN DE BOISEAU,29.0,logos/img_065_slide033.png
33,SAINT JEAN DE BOISEAU,29.0,logos/img_066_slide033.png
34,SAINT NAZAIRE,93.0,logos/img_067_slide034.png
34,SAINT NAZAIRE,93.0,logos/img_068_slide034.jpg
35,THOUARÉ SUR LOIRE,95.0,logos/img_069_slide035.jpg
35,THOUARÉ SUR LOIRE,95.0,logos/img_070_slide035.png
36,SAINTE PAZANNE,17.0,logos/img_071_slide036.png
36,SAINTE PAZANNE,17.0,logos/img_072_slide036.png
37,VALLET,60.0,logos/img_073_slide037.png
37,VALLET,60.0,logos/img_074_slide037.png
38,VERTOU,94.0,logos/img_075_slide038.png
38,VERTOU,94.0,logos/img_076_slide038.jpg
39,,931.0,logos/img_077_slide039.png
39,,931.0,logos/img_078_slide039.jpg
39,,931.0,logos/img_079_slide039.jpg
39,,931.0,logos/img_080_slide039.png
39,,931.0,logos/img_081_slide039.png
39,,931.0,logos/img_082_slide039.png
41,,,logos/img_083_slide041.jpg
41,,,logos/img_084_slide041.jpg
61,,405.0,logos/img_085_slide061.png
61,,405.0,logos/img_086_slide061.jpg
61,,405.0,logos/img_087_slide061.png
61,,405.0,logos/img_088_slide061.png
61,,405.0,logos/img_089_slide061.jpg
63,CHANGE,40.0,logos/img_090_slide063.png
65,EVRON,51.0,logos/img_091_slide065.png
65,EVRON,51.0,logos/img_092_slide065.png
66,GORRON,25.0,logos/img_093_slide066.png
67,LA CHAPELLE AU RIBOUL,14.0,logos/img_094_slide067.png
68,LAVAL,101.0,logos/img_095_slide068.png
69,LE GENEST ST ISLE,30.0,logos/img_096_slide069.png
70,,33.0,logos/img_097_slide070.png
71,MESLAY DU MAINE,50.0,logos/img_098_slide071.png
71,MESLAY DU MAINE,50.0,logos/img_099_slide071.jpg
72,,646.0,logos/img_100_slide072.png
72,,646.0,logos/img_101_slide072.jpg
72,,646.0,logos/img_102_slide072.jpg
72,,646.0,logos/img_103_slide072.png
74,,,logos/img_104_slide074.png
75,BOULOIRE,45.0,logos/img_105_slide075.jpg
75,BOULOIRE,45.0,logos/img_106_slide075.png
77,ECOMMOY,50.0,logos/img_107_slide077.png
77,ECOMMOY,50.0,logos/img_108_slide077.png
78,LA FERTE BERNARD,51.0,logos/img_109_slide078.png
80,LAIGNE SAINT GERVAIS,50.0,logos/img_110_slide080.png
80,LAIGNE SAINT GERVAIS,50.0,logos/img_111_slide080.png
81,LE LUART,25.0,logos/img_112_slide081.png
81,LE LUART,25.0,logos/img_113_slide081.png
82,,50.0,logos/img_114_slide082.png
83,LE MANS MAINE,50.0,logos/img_115_slide083.png
84,LE MANS NATURE,50.0,logos/img_116_slide084.png
84,LE MANS NATURE,50.0,logos/img_117_slide084.png
85,SABLE SUR SARTHE,39.0,logos/img_118_slide085.png
85,SABLE SUR SARTHE,39.0,logos/img_119_slide085.jpg
86,SILLE LE GUILLAUME,50.0,logos/img_120_slide086.png
87,,1271.0,logos/img_121_slide087.jpg
87,,1271.0,logos/img_122_slide087.png
87,,1271.0,logos/img_123_slide087.jpg
87,,1271.0,logos/img_124_slide087.png
